,Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
44990,66,male,78373,doctorate,8,hiking,948,rural,263,31,fall,0,1,0
8554,63,female,35129,master,9,sunbathing,2152,rural,27,274,spring,1,1,0
38484,54,non-binary,43425,bachelor,6,swimming,3434,urban,292,107,winter,1,1,0
16815,38,male,101135,doctorate,3,swimming,3776,suburban,279,44,summer,1,0,0
39897,25,female,115326,high school,5,swimming,4608,rural,37,45,winter,0,0,0
30007,51,non-binary,102764,doctorate,4,swimming,774,urban,220,218,winter,1,0,0
3340,49,non-binary,27253,bachelor,3,skiing,2372,urban,1,241,winter,1,0,1
14260,46,male,81011,doctorate,8,skiing,2060,urban,15,134,spring,1,1,1
44198,46,female,114481,doctorate,4,swimming,551,rural,82,66,winter,0,1,0
12610,36,male,110647,bachelor,3,sunbathing,3619,rural,102,264,spring,0,0,0
31311,64,male,27036,high school,3,skiing,1420,suburban,209,138,fall,1,1,0
47158,40,non-binary,109298,doctorate,2,swimming,4132,suburban,272,3,summer,0,0,0
50091,39,non-binary,63049,master,1,sunbathing,4321,suburban,101,177,summer,1,0,0
35248,66,female,93534,master,4,swimming,769,rural,0,256,fall,1,1,0
31069,45,non-binary,36706,master,9,swimming,553,rural,129,36,fall,1,0,0
35349,37,male,106349,high school,9,sunbathing,690,rural,9,141,fall,0,0,0
42346,46,non-binary,57762,master,2,hiking,2383,rural,5,82,winter,0,0,1
13222,50,male,27039,master,0,skiing,4364,urban,41,283,fall,0,1,1
46657,33,female,64215,master,1,swimming,3315,suburban,221,208,fall,0,1,0
44598,43,female,103599,doctorate,3,skiing,1917,urban,212,230,winter,1,0,1
13605,37,female,58780,master,6,swimming,4064,urban,45,286,summer,1,0,0
46332,39,non-binary,75774,high school,1,sunbathing,2830,urban,285,248,summer,1,0,0
43640,48,female,65078,high school,7,swimming,773,urban,41,231,summer,0,1,0
5105,28,female,71997,doctorate,7,hiking,3871,suburban,169,173,summer,0,1,1
11981,41,male,110146,doctorate,2,skiing,2769,suburban,37,35,fall,0,0,0
6366,52,non-binary,38889,bachelor,1,hiking,862,urban,285,188,summer,1,0,0
1611,42,non-binary,94378,doctorate,8,skiing,2413,suburban,68,134,summer,0,0,1
7088,43,female,52711,doctorate,7,sunbathing,3780,rural,283,134,spring,1,0,0
49852,30,non-binary,40988,high school,0,hiking,1586,rural,195,236,summer,0,1,1
12710,19,non-binary,54804,doctorate,3,sunbathing,2670,suburban,185,221,summer,1,0,0
26591,19,female,83084,doctorate,1,hiking,630,suburban,108,15,spring,1,1,0
41710,46,non-binary,114279,doctorate,6,sunbathing,4454,rural,8,85,fall,1,1,0
37245,47,male,94162,doctorate,8,swimming,651,urban,74,270,winter,0,1,0
50273,47,female,115047,bachelor,9,sunbathing,4623,suburban,49,221,fall,1,0,0
7731,38,female,77755,bachelor,3,swimming,1955,urban,126,181,summer,1,1,0
46365,37,female,113626,master,1,hiking,4187,rural,19,16,winter,1,1,0
6667,61,female,98379,master,1,hiking,3677,urban,276,266,winter,1,1,0
24391,52,male,34581,high school,9,skiing,1232,suburban,117,146,fall,1,1,1
35082,23,female,56620,doctorate,4,skiing,1234,urban,20,225,winter,0,0,1
9586,19,male,29716,doctorate,3,skiing,3254,suburban,199,252,winter,1,1,1
47661,61,non-binary,79879,high school,9,hiking,2549,urban,237,295,summer,0,0,1
37162,66,male,63015,master,3,hiking,2781,urban,83,277,fall,0,1,1
15677,43,non-binary,93687,doctorate,9,swimming,1590,urban,294,47,fall,1,1,0
17657,69,female,21056,master,5,sunbathing,3098,rural,149,294,spring,1,0,0
936,49,female,59631,master,8,hiking,2316,rural,80,68,summer,0,0,0
31151,26,female,89300,doctorate,5,swimming,3827,suburban,1,91,winter,1,0,0
46901,58,male,22323,master,6,sunbathing,4022,rural,265,296,fall,0,0,0
14538,30,female,112384,high school,8,hiking,1424,rural,227,34,fall,1,1,0
25502,63,non-binary,63351,high school,0,sunbathing,4295,suburban,168,91,winter,0,0,0
30568,53,non-binary,99288,master,5,sunbathing,1222,suburban,204,278,spring,0,1,0
43565,37,male,54259,bachelor,5,hiking,4745,urban,263,64,fall,0,1,0
26166,34,male,56212,high school,6,hiking,733,suburban,239,83,fall,0,0,0
44447,48,non-binary,36249,high school,9,skiing,1206,urban,27,125,winter,1,1,1
12368,53,non-binary,110451,high school,2,hiking,3351,suburban,0,252,spring,0,1,1
8573,38,female,56607,master,2,hiking,2553,suburban,26,274,fall,0,1,1
29183,50,male,36484,high school,4,hiking,2856,suburban,100,96,summer,1,0,0
23836,68,female,106977,high school,9,skiing,4749,rural,181,144,fall,1,0,0
22721,35,male,74505,bachelor,7,sunbathing,3030,rural,184,189,summer,0,1,0
2353,50,female,38133,bachelor,1,skiing,3309,urban,126,208,winter,0,0,1
7930,54,non-binary,105821,master,6,skiing,565,urban,294,105,winter,1,0,0
12447,20,male,42358,bachelor,4,sunbathing,622,urban,245,129,fall,1,0,0
29457,25,male,68276,high school,3,skiing,4543,urban,142,210,winter,0,0,1
7103,60,male,91612,doctorate,1,hiking,4378,rural,205,229,fall,0,0,1
21532,31,male,96418,bachelor,7,hiking,2541,urban,268,148,summer,0,1,0
1091,37,non-binary,62877,doctorate,0,hiking,3986,suburban,246,142,spring,1,1,0
49108,23,female,111005,doctorate,5,skiing,2177,rural,99,174,spring,0,0,1
41389,57,female,68015,high school,9,sunbathing,4421,urban,143,196,summer,1,0,0
3709,63,non-binary,45952,bachelor,5,skiing,2065,suburban,114,225,fall,0,0,1
7964,53,male,103342,doctorate,8,skiing,3516,suburban,216,266,summer,0,0,1
33636,21,non-binary,31874,master,7,hiking,1900,suburban,293,95,winter,0,1,0
31026,69,female,91591,bachelor,6,skiing,3251,urban,110,251,summer,1,0,1
29504,63,female,66673,high school,5,hiking,1837,suburban,118,220,summer,1,0,1
6784,29,non-binary,51493,high school,4,swimming,823,suburban,174,88,fall,1,0,0
26288,54,male,26694,doctorate,7,hiking,3771,rural,258,92,winter,1,1,0
27783,26,male,61250,high school,5,hiking,4441,rural,74,97,winter,0,0,1
18167,51,non-binary,30914,high school,3,hiking,3082,rural,248,200,winter,1,1,0
27981,68,non-binary,69647,master,2,sunbathing,3724,suburban,97,75,spring,1,0,0
12550,58,non-binary,30681,bachelor,7,swimming,4314,suburban,214,23,winter,1,1,0
27920,19,non-binary,109532,bachelor,2,skiing,1251,suburban,31,2,spring,0,0,0
52039,31,non-binary,110325,master,8,sunbathing,2591,urban,298,168,winter,1,1,0
11264,40,female,72456,high school,3,hiking,2249,urban,124,207,winter,1,1,1
10420,24,male,44793,bachelor,2,swimming,4313,suburban,142,177,fall,1,0,0
14648,56,female,93805,high school,8,sunbathing,3220,urban,117,249,fall,0,1,0
19517,29,non-binary,85049,doctorate,8,skiing,3240,rural,42,221,spring,0,1,1
44467,63,non-binary,66072,doctorate,8,sunbathing,2500,urban,4,174,winter,0,1,0
37450,41,male,55060,doctorate,1,sunbathing,3255,suburban,260,207,spring,0,0,0
27896,23,female,24517,high school,6,sunbathing,4909,suburban,15,197,fall,0,1,0
23222,37,female,23889,doctorate,2,skiing,2407,urban,270,146,fall,1,0,0
19590,26,male,30350,high school,2,hiking,4597,rural,247,66,winter,1,0,0
31480,61,non-binary,61428,high school,4,hiking,4748,suburban,158,27,summer,0,0,0
12442,46,non-binary,41887,doctorate,4,swimming,2427,urban,254,244,fall,0,0,0
48266,51,female,74319,doctorate,4,sunbathing,3187,urban,10,274,winter,1,0,0
24901,55,female,118789,bachelor,6,skiing,711,rural,25,187,spring,1,0,1
31939,51,non-binary,52719,high school,0,sunbathing,891,urban,140,26,spring,1,1,0
13625,41,female,31391,bachelor,5,swimming,732,suburban,284,274,spring,0,0,0
50230,63,female,34614,high school,9,skiing,4368,suburban,65,14,summer,0,1,0
38360,43,female,104946,doctorate,4,skiing,2328,suburban,142,51,fall,1,0,0
35645,36,female,43759,bachelor,9,sunbathing,1486,urban,221,242,fall,1,1,0
28974,64,female,104587,bachelor,0,hiking,4401,suburban,50,73,winter,1,0,1
1697,33,non-binary,97134,master,5,skiing,2841,rural,259,76,winter,1,0,0
15446,67,male,21967,doctorate,3,sunbathing,4903,suburban,35,90,spring,0,1,0
41897,61,male,96399,doctorate,8,sunbathing,4618,rural,166,166,spring,1,0,0
13261,30,non-binary,68604,bachelor,3,hiking,3414,urban,268,133,spring,1,0,0
50297,29,non-binary,38066,bachelor,8,skiing,4299,rural,144,66,spring,1,1,0
29447,35,female,34045,bachelor,1,swimming,4309,rural,30,242,fall,0,1,0
49329,35,female,90199,bachelor,1,hiking,629,suburban,100,51,summer,1,0,0
40437,36,male,63229,master,6,hiking,4306,urban,229,293,spring,0,0,1
3495,40,non-binary,59970,master,4,hiking,3616,suburban,294,222,summer,1,1,0
15373,67,non-binary,87250,doctorate,3,skiing,3079,rural,299,11,fall,0,1,0
11424,33,non-binary,58572,doctorate,8,skiing,4511,urban,50,221,spring,0,1,1
12698,62,male,51774,master,6,sunbathing,4276,rural,112,155,winter,1,1,0
26246,26,male,68857,bachelor,6,skiing,880,rural,136,296,summer,0,1,1
36011,31,male,69777,master,5,swimming,2519,urban,152,95,fall,0,0,0
11821,20,female,83192,high school,7,skiing,1296,rural,87,46,fall,0,1,0
29126,25,male,104870,doctorate,9,sunbathing,2566,urban,208,116,fall,1,0,0
41893,65,female,100118,high school,3,sunbathing,1870,rural,223,0,summer,0,0,0
31815,44,non-binary,52029,master,4,hiking,4644,suburban,0,235,winter,0,0,1
41522,38,female,80271,doctorate,7,hiking,1917,rural,51,189,spring,1,0,1
43268,38,male,115466,doctorate,8,sunbathing,2745,suburban,251,54,winter,1,0,0
43826,21,male,81722,master,0,sunbathing,1227,urban,265,227,winter,1,1,0
35263,47,male,20469,doctorate,3,sunbathing,3363,suburban,97,283,summer,0,0,0
33721,40,female,60828,master,0,hiking,1384,rural,170,141,fall,0,1,0
19235,46,male,76342,bachelor,0,skiing,2151,suburban,238,190,spring,1,0,0
3841,62,female,49735,doctorate,4,skiing,4775,urban,37,273,summer,1,0,1
8809,31,male,23586,bachelor,6,sunbathing,4574,suburban,132,204,winter,1,1,0
19577,62,female,29094,doctorate,7,hiking,1500,rural,135,30,fall,0,0,0
10453,57,male,21466,doctorate,1,hiking,4488,rural,277,149,summer,0,0,0
19017,44,non-binary,99858,bachelor,1,sunbathing,1183,rural,141,38,spring,1,1,0
27527,29,non-binary,85378,master,0,hiking,1103,suburban,50,68,fall,1,0,1
30154,60,non-binary,100110,master,1,skiing,2029,urban,28,139,spring,1,0,1
23668,31,male,24191,doctorate,1,sunbathing,1086,urban,122,225,fall,0,0,0
17428,34,male,20168,doctorate,6,swimming,4905,suburban,150,180,summer,1,0,0
13980,51,male,114161,master,1,hiking,1676,rural,70,134,spring,1,1,1
22568,65,female,94196,master,4,skiing,1237,urban,126,280,spring,0,1,1
34149,35,female,108995,master,4,hiking,3662,rural,216,158,winter,0,0,0
46328,53,male,80632,high school,0,swimming,1544,rural,70,130,fall,0,1,0
22330,24,non-binary,57120,high school,8,swimming,1698,rural,19,176,fall,1,1,0
40517,32,male,102291,high school,9,swimming,3291,urban,22,249,fall,1,0,0
30618,30,non-binary,45501,bachelor,0,hiking,740,suburban,40,35,winter,0,0,0
17497,19,non-binary,80010,master,6,skiing,1689,urban,175,165,summer,0,0,0
5970,53,male,26975,master,3,skiing,3090,suburban,246,287,spring,1,1,1
8766,68,female,62926,high school,9,skiing,731,urban,93,104,fall,1,0,1
7965,33,female,94452,high school,6,swimming,2250,rural,51,154,summer,1,0,0
30804,51,non-binary,111766,high school,2,skiing,2396,suburban,1,84,summer,0,0,1
39910,54,female,32921,bachelor,2,skiing,2079,suburban,73,26,spring,0,1,0
16080,46,male,59297,bachelor,7,skiing,3876,rural,67,187,winter,0,0,1
1998,24,male,71313,doctorate,8,skiing,2588,urban,172,246,fall,0,0,1
20718,21,male,119124,master,4,sunbathing,946,rural,158,167,summer,0,0,0
10982,65,male,60457,bachelor,3,swimming,3197,suburban,93,15,summer,1,1,0
19520,49,non-binary,94260,doctorate,5,hiking,621,suburban,76,178,fall,1,1,1
27031,44,male,101326,bachelor,5,hiking,586,suburban,99,103,spring,0,0,1
6993,28,non-binary,77732,high school,4,skiing,610,rural,298,150,summer,0,1,0
13122,19,female,97522,doctorate,9,skiing,2053,urban,84,240,summer,1,1,1
13891,26,female,50544,high school,6,hiking,3375,urban,160,22,spring,0,1,0
40407,26,female,28263,doctorate,2,sunbathing,2721,suburban,181,90,fall,1,1,0
39423,69,male,114594,doctorate,5,swimming,4962,suburban,0,79,spring,1,0,0
9088,41,male,73436,doctorate,8,swimming,2285,urban,266,7,fall,0,0,0
39391,59,female,94676,doctorate,8,sunbathing,4204,suburban,289,10,summer,1,1,0
9608,18,male,82619,doctorate,6,swimming,3548,rural,4,188,winter,1,1,0
6901,24,male,58869,high school,1,swimming,4252,suburban,255,50,spring,0,1,0
13330,45,non-binary,29156,master,3,sunbathing,1435,urban,231,243,summer,1,0,0
2115,31,non-binary,103972,high school,1,sunbathing,3679,rural,45,269,fall,0,1,0
35415,39,non-binary,96701,bachelor,3,swimming,2209,rural,94,72,fall,0,0,0
1855,59,female,52666,high school,2,swimming,4477,suburban,32,103,summer,1,0,0
25000,50,non-binary,58034,master,0,hiking,1230,urban,93,102,summer,0,0,1
9150,30,female,24549,high school,3,skiing,2720,rural,14,6,winter,0,1,0
15200,20,female,47838,high school,3,swimming,1827,urban,226,12,spring,1,1,0
5447,41,female,21283,high school,4,sunbathing,2322,suburban,144,178,fall,0,1,0
35245,32,non-binary,68076,doctorate,8,skiing,2577,suburban,293,274,spring,0,1,0
5002,53,female,73937,doctorate,2,swimming,1435,urban,240,217,winter,0,1,0
25094,25,male,101614,doctorate,9,hiking,1129,suburban,199,179,winter,1,0,0
8050,68,non-binary,50085,master,8,sunbathing,1880,urban,219,107,winter,1,0,0
36436,24,female,72198,high school,7,hiking,1095,rural,127,90,summer,0,1,0
4050,34,male,65033,bachelor,8,swimming,2309,suburban,146,171,winter,0,0,0
46279,64,female,72479,master,1,hiking,1599,urban,163,68,summer,1,0,0
36639,21,female,103111,bachelor,8,sunbathing,2584,urban,235,275,spring,0,0,0
28817,47,female,90261,high school,2,hiking,4292,urban,285,198,fall,0,1,0
51621,25,male,39141,high school,9,swimming,2635,rural,250,126,spring,1,0,0
47696,62,male,39858,high school,9,sunbathing,3695,rural,193,15,summer,1,1,0
39079,28,male,70359,bachelor,8,sunbathing,3393,rural,188,283,summer,1,0,0
26498,43,female,45958,master,6,hiking,2619,suburban,285,30,spring,0,1,0
43522,69,male,98116,bachelor,6,skiing,3655,suburban,254,212,spring,1,0,0
39618,56,male,105836,bachelor,6,skiing,549,suburban,48,109,summer,0,1,1
21973,58,male,92832,bachelor,5,hiking,2760,urban,100,289,summer,1,1,1
23206,60,male,58099,high school,4,skiing,1874,rural,243,284,spring,0,0,1
